,link,title
2822,http://pittsburghpa.gov/publicsafety/blotterview/2822,UPDATE: Detectives Seek the Public's Help to Find a Missing Juvenile - 06.05.2024
2819,http://pittsburghpa.gov/publicsafety/blotterview/2819,PIttsburgh Police Make Arrest in Sheraden Homicide - 06.04.2024
2820,http://pittsburghpa.gov/publicsafety/blotterview/2820,UPDATE: Pittsburgh Police Seek the Public's Assistance to Find Missing Boy - 06.04.2024
2818,http://pittsburghpa.gov/publicsafety/blotterview/2818,"Violence Prevention Unit Detectives Arrest One, Recover Two Firearms  - 06.03.2024"
2816,http://pittsburghpa.gov/publicsafety/blotterview/2816,"South Side Entertainment Patrol Arrests and Citations for May 29 - June 2, 2024 - 06.03.2024"
2817,http://pittsburghpa.gov/publicsafety/blotterview/2817,Department of Public Safety Highlights Safe and Successful Weekend in Pittsburgh - 06.03.2024
2814,http://pittsburghpa.gov/publicsafety/blotterview/2814,Police Investigate After Gunshot Victim Arrives at the Hospital Overnight - 06.02.2024
2815,http://pittsburghpa.gov/publicsafety/blotterview/2815,UPDATE: Police Ask for the Public's Help to Locate Missing Teen - 06.02.2024
2811,http://pittsburghpa.gov/publicsafety/blotterview/2811,Pittsburgh Police Investigate Fatal Overnight Shooting in Sheraden - 06.01.2024
2812,http://pittsburghpa.gov/publicsafety/blotterview/2812,"Police Investigate Shots Fired Domestic Incident that Damaged Vehicle, Residence - 06.01.2024"
2813,http://pittsburghpa.gov/publicsafety/blotterview/2813,"UPDATE: Pittsburgh Police Seek the Public's Help to Find a Missing, At Risk Teen - 06.01.2024"
2809,http://pittsburghpa.gov/publicsafety/blotterview/2809,Pittsburgh Police Arrest Armed Robbery Suspect in Stolen Vehicle  - 05.31.2024
2810,http://pittsburghpa.gov/publicsafety/blotterview/2810,"Pittsburgh Police, Fire, and EMS Respond to Fire at Three Rivers Arts Festival - 05.31.2024"
2807,http://pittsburghpa.gov/publicsafety/blotterview/2807,"Pittsburgh Police, Fire, and EMS Respond to Fatal Construction Accident in North Oakland - 05.30.2024"
2808,http://pittsburghpa.gov/publicsafety/blotterview/2808,UPDATE: Pittsburgh Police Seek the Public's Assistance to Find Two Missing Juveniles - 05.30.2024
2801,http://pittsburghpa.gov/publicsafety/blotterview/2801,"Violence Prevention Unit Detectives Make Multiple Arrests, Recover Firearms, Narcotics - 05.29.2024"
2806,http://pittsburghpa.gov/publicsafety/blotterview/2806,Pittsburgh Police Investigate Shooting in Crafton Heights - 05.29.2024
2805,http://pittsburghpa.gov/publicsafety/blotterview/2805,Pittsburgh Police Respond to Downtown Stabbing Incident - 05.29.2024
2804,http://pittsburghpa.gov/publicsafety/blotterview/2804,"Pittsburgh Police Arrest Three in Connection With Vehicle Thefts, Robberies in Pittsburgh and Surrounding Areas - 05.29.2024"
2803,http://pittsburghpa.gov/publicsafety/blotterview/2803,Police Investigate Shooting in Homewood South - 05.29.2024
2802,http://pittsburghpa.gov/publicsafety/blotterview/2802,Pittsburgh Bureau of Fire Responds to Two-Alarm Fire in Sheraden - 05.29.2024
2800,http://pittsburghpa.gov/publicsafety/blotterview/2800,UPDATE: Pittsburgh Police Seek Public's Help in Locating Missing 13-Year-Old Girl - 05.28.2024
2799,http://pittsburghpa.gov/publicsafety/blotterview/2799,"South Side Entertainment Patrol Arrests and Citations for May 22 - 26, 2024 - 05.28.2024"
2798,http://pittsburghpa.gov/publicsafety/blotterview/2798,Police Investigate Stabbing Incident in Homewood - 05.24.2024
